date,NO2,CO,SO2,O3
2025-08-25,1.1357076434081796e-05,0.0277629785875721,0.0002682164851434,0.1171646138616636
2025-08-26,4.187479264087855e-05,,-8.327704023442141e-05,0.1160605468096271
2025-08-27,3.374118285945668e-05,0.0300625959038734,-2.068334533548697e-05,0.1162258887700006
2025-08-28,1.7574987254945504e-05,0.0241194426674734,6.94104530858957e-05,0.1163155376618983
2025-08-29,2.4101789150092107e-05,0.0248931990160296,7.672802196437893e-05,0.1134192889519766
2025-08-30,1.9791132933733022e-05,0.0256497665186939,-2.3392187434486303e-05,0.1149842857437975
2025-08-31,7.853151463209404e-06,0.0262607991695404,-4.760285697818076e-05,0.115810202763361
2025-09-01,1.1647336860137172e-05,0.0271135430410504,4.488330594338347e-05,0.1154161368807156
2025-09-02,1.3144607851245385e-05,0.0242349696345627,-5.09379293152261e-05,0.1134467967877201
2025-09-03,1.3435505199130931e-05,0.0243423719178227,3.834447140459871e-05,0.1135725814337823
2025-09-04,1.3942426970542702e-05,0.0271800172825654,1.1604816710980066e-05,0.1131709451768912
2025-09-05,1.5682730484265697e-05,0.0293991110473871,7.392926334557392e-06,0.1137138852009586
2025-09-06,2.714728740063444e-05,0.0306145895860697,0.000130376610008,0.1133873762161124
2025-09-07,1.771525643669199e-05,0.0288331282086843,-5.158975431649928e-05,0.1130470883320359
2025-09-08,2.1725439320394607e-05,0.0333932382719857,-5.019935363124227e-05,0.1125270651251662
2025-09-09,2.7851241551009783e-05,0.0255095119401812,-6.396313052324263e-05,0.1145517869907267
2025-09-10,,,-0.0002677967131603,0.1175129003092354
2025-09-11,2.0824998694024546e-05,0.0287464465945959,-0.0002689648002072,0.1159913606750659
2025-09-12,2.3322105106397355e-05,0.0302492133341729,8.596544898864522e-05,0.1149237654080577
2025-09-13,2.157577421755264e-05,0.0284789614379405,-3.169638898184314e-05,0.115713946667372
2025-09-14,1.8162817853964145e-05,0.0263382425056953,0.0002296292899532,0.1146824435860503
2025-09-15,2.0666784924590804e-05,0.0264618242314706,7.524147412337258e-05,0.1144550124219819
2025-09-16,3.020544764612251e-05,0.0301147946156561,-4.484741778772635e-05,0.1140570899142938
2025-09-17,,0.0253492641661848,,0.1157293267109814
2025-09-18,,0.0285302642732858,,0.1130893212907454
2025-09-19,6.709281548309163e-06,0.0279964013741566,3.208006442037004e-05,0.1116105129613595
2025-09-20,1.1057549320532034e-05,0.0275094483047723,,
2025-09-21,1.146590113118388e-05,0.0293855928257107,4.777473002511268e-05,0.1123225430355352
2025-09-22,1.83659484422123e-05,0.0292007590279631,3.703343935164728e-05,0.1143339825611488
2025-09-23,3.387660081936398e-05,0.0337840424105525,-2.786503634004995e-05,0.1135284341141289
2025-09-24,3.3762740164403536e-05,0.0366439959034323,1.674508867362168e-05,0.1127626592037724
2025-09-25,1.703130644934638e-05,0.0270922611908693,-1.1195232531235888e-05,0.1119918433182379
2025-09-26,1.7155962567017013e-05,0.0307459773397759,4.306868409983901e-05,0.1133322883762565
2025-09-27,2.0898960535002213e-05,0.0359631644991728,0.0001654951174163,0.115971193027993
2025-09-28,1.0821866276273796e-05,0.0307282948976053,1.679880178213067e-05,0.1166275155310537
2025-09-29,2.5443096092203632e-05,0.0300669465214014,-8.63375225890195e-05,0.1170957151289079
2025-10-01,,,,0.1165004946729716
2025-10-02,1.9687665258061315e-05,0.0263224476150104,9.52481874037403e-06,0.1136251287717445
2025-10-03,3.2364504405967295e-05,0.0312932737171649,3.8350988697678914e-05,0.1160135397724076
2025-10-04,2.504135220358596e-05,0.0335492232047459,7.0202554525167216e-06,0.1142578661149623
2025-10-05,1.2577994890752023e-05,0.0303254850722592,-7.541000261632938e-05,0.1152303586987888
2025-10-06,1.6400842787334115e-05,0.0321193548540274,4.04320148405649e-05,0.1181264443724763
2025-10-07,2.491341278665607e-05,0.0447609834372997,-4.036018809778861e-05,0.1186868136419969
2025-10-08,3.149778824223961e-05,0.0365728554041946,7.474822958850863e-05,0.1180635768116689
2025-10-09,2.7499419957166538e-05,0.034925706380484,2.691426353911603e-06,0.1189748203637553
2025-10-10,2.4293497332905645e-05,0.0353544004434763,-4.053890477181362e-06,0.1167660057544708
2025-10-11,1.7687894766519698e-05,0.0307592011476848,-2.7850349329970345e-05,0.112500466698525
2025-10-12,1.2265321129234509e-05,0.0268946817144751,-0.0001015415264505,0.1140765011602757
2025-10-13,8.585578484598955e-06,,0.0005917741451412,0.1179854104331895
2025-10-14,2.136560844560749e-05,0.0276979664579415,3.097458044397751e-05,0.1178192936030088
2025-10-15,1.3425041743175823e-05,0.0311640778986307,-5.600585827778559e-05,0.1172015339720482
2025-10-16,2.015009148289929e-05,0.0256726743342975,7.088871297450931e-06,0.1186832601533216
2025-10-17,1.4641913537616348e-05,0.0293602579108932,-3.892261270266317e-05,0.1178764145748288
2025-10-18,1.1769363050007089e-05,,-3.74101171097397e-05,0.1174345222466132
2025-10-19,2.8392183796515583e-05,0.0293313665567217,-2.145147916760632e-05,0.1147866066472203
2025-10-20,,,,0.117509936439056
2025-10-21,,,,0.1178070715829437
2025-10-22,,,,0.117809117278632
2025-10-23,,,6.304262691022207e-05,0.1163816595194386
2025-10-24,,,,0.1175565294483128
2025-10-25,,,,0.1169469305405429
2025-10-26,4.4021735448041e-05,0.0302861668169498,1.9579292110652853e-05,0.116883693372502
2025-10-27,,,,0.1151224469729498
2025-10-28,1.9641695507743863e-05,0.0234746425929996,-0.0001223486369385,0.1130291162168278
2025-10-29,,,-0.0008206095468873,0.115982074217469
2025-10-30,,,,0.1176242261540656
2025-10-31,9.05164307159094e-06,0.0278884179890155,-6.943679603676267e-05,0.1157124103868708
2025-11-01,,,,0.1154801608885035
2025-11-02,,,,0.1184642732727761
2025-11-03,,,,0.1177850932467217
2025-11-04,2.3964533877164207e-05,0.0356299728155136,-0.0001333002469942,0.1158059397164513
2025-11-05,3.161519695519625e-05,0.0282913763076066,-5.1358830975144745e-05,0.1163382375357197
2025-11-06,1.2093318341262951e-05,0.026624006529649,5.182603595480591e-05,0.112617450017555
2025-11-07,2.3223163124283827e-05,0.0286165544530376,0.0001755266375988,0.1140644021478353
2025-11-08,,,,0.1161477513173047
2025-11-09,,,,0.116496620517151
2025-11-10,,,,0.1167037167093333
2025-11-11,1.7167367332149297e-05,0.0335736436148484,4.709194763563573e-05,0.1166640236681582
2025-11-12,,,,0.1167092019436406
2025-11-13,,0.0334666743874549,,0.1142315040616428
2025-11-14,,,,0.115503939590892
2025-11-15,,,,0.1171563552582965
2025-11-16,,,,0.1168625300713614
2025-11-17,,,0.0002010219468502,0.1160540111801203
2025-11-18,2.93425909231618e-05,0.0267275927419012,-1.098812188299942e-06,0.1129341547687848
2025-11-19,4.5925556378279e-05,,-6.053873124377181e-05,0.1153838992411015
2025-11-20,5.1543496738304384e-05,0.0287204943597316,-0.0003452934088272,0.1155809288223584
2025-11-21,2.3158382713585592e-05,0.0281057293759658,2.1319807341637056e-05,0.113695198706552
2025-11-22,4.107115853457799e-05,0.0309852541734774,-3.787225787055788e-05,0.1154395609217531
2025-11-23,2.367223098190152e-05,0.029815362316781,,0.1130442597410258
2025-11-24,,,,0.1158164083665492
2025-11-25,3.878085048432076e-05,0.0296657521179632,,0.1130723237406973
2025-11-26,4.418375204955273e-05,0.0296566584729589,,0.1134147879247571
2025-11-27,,,,0.1159145563256506
2025-11-28,1.544518256326098e-05,0.0263321909176952,,0.1126961529839272
2025-11-29,8.711322758851262e-06,0.0262040783418342,,0.115663097185247
2025-11-30,,,,0.1157959802792622
2025-12-01,3.6966349398426246e-05,0.0333792809396982,,0.1163309467773811
2025-12-02,3.82117373192159e-05,,,0.1162607807154749
2025-12-03,2.735379304354093e-05,0.0255676720291376,2.904119991199412e-05,0.1154734536128885
2025-12-04,,,,0.1155221340995208
2025-12-05,2.2596791196275907e-05,0.0270701753906905,-5.0666094555744366e-06,0.1150418500982078
2025-12-06,,,-0.0001784320274964,0.1154930121174045
2025-12-07,3.1156701576643776e-05,0.0296269406874974,-5.007318193545668e-05,0.1149996305797614
2025-12-08,2.57825569178749e-05,0.0258936150265591,0.0002705659651176,0.1134888030150357
2025-12-09,,,5.362766023608856e-05,0.1159198482831319
2025-12-10,4.8809078829695606e-05,0.0304931873370977,5.277428404258986e-05,0.1160841949430166
2025-12-11,3.2493627569155336e-05,0.0307469566663106,6.496633165321933e-05,0.1146527777115504
2025-12-12,3.28849807606186e-05,0.02984532274838,-5.234891485837152e-06,0.1136529518693101
2025-12-13,2.369286190552581e-05,0.0328086635896137,6.466096625764614e-05,0.1137115150397899
2025-12-14,,0.0269226972013711,-8.31561386472789e-06,0.1154849131902058
2025-12-15,3.2536845577377115e-05,0.0275811776518821,0.000167085163055,0.1159197978821455
2025-12-16,,,,0.1151245633761088
2025-12-17,3.017620194584072e-05,0.0286147183529576,5.3536806039939584e-05,0.1153461617581984
2025-12-18,,0.0258719803144534,,0.1138153673679221
2025-12-19,,,,0.1131382163833169
2025-12-20,,,,0.1130813650932966
2025-12-21,3.148586529277964e-05,0.0232896778034046,-1.1717673955632457e-05,0.114609913937017
2025-12-22,3.624408986290677e-05,0.0286065899628274,2.8287010577928e-06,0.1156718272204492
2025-12-23,3.530972058155492e-05,0.0298476968416754,0.0001544897238773,0.1148427419510542
2025-12-24,2.392203119101892e-05,0.0268206991339949,9.414816439198931e-05,0.1153678666142856
2025-12-25,2.265980879201379e-05,0.0306671749362174,7.026492322109605e-05,0.115228857041574
2025-12-26,,,0.0001158640904274,0.1141542871208751
2025-12-27,,,,0.1138218537557358
2025-12-28,3.49301541064051e-05,,0.0003428823369065,0.1142731853852085
2025-12-29,3.544610649441893e-05,0.0290079169759624,0.0002271356689334,0.1128851546376359
2025-12-30,2.203314761572983e-05,,5.756387301570452e-05,0.1143874501188596
2025-12-31,,,,0.11467265819802
2026-01-01,3.953856701793318e-05,,-0.000286442234988,0.1145070552312094
2026-01-02,,,,0.1106991201054816
2026-01-03,3.1638068321626633e-05,0.0257829521256296,-6.33587963723888e-06,0.1116628309383111
2026-01-04,,,0.0001235533113913,0.1127133560823459
2026-01-05,,,,0.1133008776049988
2026-01-06,,,-0.0002205413220508,0.1117471420005256
2026-01-07,,,-6.816966561018489e-05,0.1142480598360884
2026-01-08,4.339282794616237e-05,0.0273575954760114,0.0001419565084268,0.1133653217670964
2026-01-09,3.553150842587153e-05,,-0.0001038473525151,0.1138133815690582
2026-01-10,,,,0.1137610321827963
2026-01-11,,,,0.1137899627872541
2026-01-12,,,,0.1141792245063127
2026-01-13,,,,0.114387063857387
